"column_name","gear_id","time","accession","sample_name"
"GEAR ID",NA,"Time","Accession number","Sample me"
"4",4,"26","GSM131066","Edwards_1-1_26hr_Rep1_ATH1"
"4.1",4,"30","GSM131067","Edwards_1-2_30hr_Rep1_ATH1"
"4.2",4,"34","GSM131068","Edwards_1-3_34hr_Rep1_ATH1"
"4.3",4,"38","GSM131069","Edwards_1-4_38hr_Rep1_ATH1"
"4.4",4,"42","GSM131070","Edwards_1-5_42hr_Rep1_ATH1"
"4.5",4,"46","GSM131071","Edwards_1-6_46hr_Rep1_ATH1"
"4.6",4,"50","GSM131072","Edwards_1-7_50hr_Rep1_ATH1"
"4.7",4,"54","GSM131073","Edwards_1-8_54hr_Rep1_ATH1"
"4.8",4,"58","GSM131074","Edwards_1-9_58hr_Rep1_ATH1"
"4.9",4,"62","GSM131075","Edwards_1-10_62hr_Rep1_ATH1"
"4.10",4,"66","GSM131076","Edwards_1-11_66hr_Rep1_ATH1"
"4.11",4,"70","GSM131077","Edwards_1-12_70hr_Rep1_ATH1"
"4.12",4,"74","GSM131078","Edwards_1-13_74hr_Rep1_ATH1"
"5",5,"24","GSM207286","Seedling_ConstantWhiteLight_24hr"
"5.1",5,"28","GSM207287","Seedling_ConstantWhiteLight_28hr"
"5.2",5,"32","GSM207288","Seedling_ConstantWhiteLight_32hr"
"5.3",5,"36","GSM207289","Seedling_ConstantWhiteLight_36hr"
"5.4",5,"40","GSM207290","Seedling_ConstantWhiteLight_40hr"
"5.5",5,"44","GSM207291","Seedling_ConstantWhiteLight_44hr"
"5.6",5,"48","GSM207292","Seedling_ConstantWhiteLight_48hr"
"5.7",5,"52","GSM207293","Seedling_ConstantWhiteLight_52hr"
"5.8",5,"56","GSM207294","Seedling_ConstantWhiteLight_56hr"
"5.9",5,"60","GSM207295","Seedling_ConstantWhiteLight_60hr"
"5.10",5,"64","GSM207296","Seedling_ConstantWhiteLight_64hr"
"5.11",5,"68","GSM207297","Seedling_ConstantWhiteLight_68hr"
"8",8,"0","LDHC_00.CEL","col_0_LDHC"
"8.1",8,"4","LDHC_04.CEL","col_4_LDHC"
"8.2",8,"8","LL_LDHC_08.CEL","col_8_LDHC"
"8.3",8,"12","LL_LDHC_12.CEL","col_12_LDHC"
"8.4",8,"16","LDHC_16.CEL","col_16_LDHC"
"8.5",8,"20","LDHC_20.CEL","col_20_LDHC"
"8.6",8,"24","LL_LDHC_24.CEL","col_24_LDHC"
"8.7",8,"28","LL_LDHC_28.CEL","col_28_LDHC"
"8.8",8,"32","LDHC_32.CEL","col_32_LDHC"
"8.9",8,"36","LL_LDHC_36.CEL","col_36_LDHC"
"8.10",8,"40","LL_LDHC_40.CEL","col_40_LDHC"
"8.11",8,"44","LL_LDHC_44.CEL","col_44_LDHC"
"14",14,"0","col_ID_00.CEL","col_ID_00_0"
"14.1",14,"4","col_ID_04.CEL","col_ID_04_1"
"14.2",14,"8","col_ID_08.CEL","col_ID_08_2"
"14.3",14,"12","col_ID_12.CEL","col_ID_12_3"
"14.4",14,"16","col_ID_16.CEL","col_ID_16_4"
"14.5",14,"20","col_ID_20.CEL","col_ID_20_5"
"15",15,"0","col_SD_00.CEL","col_SD_00_24"
"15.1",15,"4","col_SD_04.CEL","col_SD_04_25"
"15.2",15,"8","col_SD_08.CEL","col_SD_08_26"
"15.3",15,"12","col_SD_12.CEL","col_SD_12_27"
"15.4",15,"16","col_SD_16.CEL","col_SD_16_28"
"15.5",15,"20","col_SD_20.CEL","col_SD_20_29"
"17",17,"0","lux2_ID_00.CEL","lux2_ID_00_6"
"17.1",17,"4","lux2_ID_04.CEL","lux2_ID_04_7"
"17.2",17,"8","lux2_ID_08.CEL","lux2_ID_08_8"
"17.3",17,"12","lux2_ID_12.CEL","lux2_ID_12_9"
"17.4",17,"16","lux2_ID_16.CEL","lux2_ID_16_10"
"17.5",17,"20","lux2_ID_20.CEL","lux2_ID_20_11"
"26",26,"72","GSM915388","Col_ConstantLight_72hr"
"26.1",26,"76","GSM915389","Col_ConstantLight_76hr"
"26.2",26,"80","GSM915390","Col_ConstantLight_80hr"
"26.3",26,"84","GSM915391","Col_ConstantLight_84hr"
"26.4",26,"88","GSM915392","Col_ConstantLight_88hr"
"26.5",26,"92","GSM915393","Col_ConstantLight_92hr"
"26.6",26,"96","GSM915394","Col_ConstantLight_96hr"
"26.7",26,"100","GSM915395","Col_ConstantLight_100hr"
"26.8",26,"104","GSM915396","Col_ConstantLight_104hr"
"26.9",26,"108","GSM915397","Col_ConstantLight_108hr"
"26.10",26,"112","GSM915398","Col_ConstantLight_112hr"
"26.11",26,"116","GSM915399","Col_ConstantLight_116hr"
"27",27,"72","GSM915400","rve8_ConstantLight_72hr"
"27.1",27,"76","GSM915401","rve8_ConstantLight_76hr"
"27.2",27,"80","GSM915402","rve8_ConstantLight_80hr"
"27.3",27,"84","GSM915403","rve8_ConstantLight_84hr"
"27.4",27,"88","GSM915404","rve8_ConstantLight_88hr"
"27.5",27,"92","GSM915405","rve8_ConstantLight_92hr"
"27.6",27,"96","GSM915406","rve8_ConstantLight_96hr"
"27.7",27,"100","GSM915407","rve8_ConstantLight_100hr"
"27.8",27,"104","GSM915408","rve8_ConstantLight_104hr"
"27.9",27,"108","GSM915409","rve8_ConstantLight_108hr"
"27.10",27,"112","GSM915410","rve8_ConstantLight_112hr"
"27.11",27,"116","GSM915411","rve8_ConstantLight_116hr"
"28",28,"2","GSM1072470","Long days WT_ rep 1"
"28.1",28,"2","GSM1072471","Long days WT_ rep 2"
"28.2",28,"2","GSM1072472","Long days WT_ rep 3"
"28.3",28,"6","GSM1072473","Long days WT_ rep 1"
"28.4",28,"6","GSM1072474","Long days WT_ rep 2"
"28.5",28,"6","GSM1072475","Long days WT_ rep 3"
"28.6",28,"10","GSM1072476","Long days WT_ rep 1"
"28.7",28,"10","GSM1072477","Long days WT_ rep 2"
"28.8",28,"10","GSM1072478","Long days WT_ rep 3"
"28.9",28,"14","GSM1072479","Long days WT_ rep 1"
"28.10",28,"14","GSM1072480","Long days WT_ rep 2"
"28.11",28,"14","GSM1072481","Long days WT_ rep 3"
"28.12",28,"18","GSM1072482","Long days WT_ rep 1"
"28.13",28,"18","GSM1072483","Long days WT_ rep 2"
"28.14",28,"18","GSM1072484","Long days WT_ rep 3"
"28.15",28,"22","GSM1072485","Long days WT_ rep 1"
"28.16",28,"22","GSM1072486","Long days WT_ rep 2"
"28.17",28,"22","GSM1072487","Long days WT_ rep 3"
"29",29,"2","GSM1072488","Long days LL_ rep 1"
"29.1",29,"2","GSM1072489","Long days LL_ rep 2"
"29.2",29,"2","GSM1072490","Long days LL_ rep 3"
"29.3",29,"6","GSM1072491","Long days LL_ rep 1"
"29.4",29,"6","GSM1072492","Long days LL_ rep 2"
"29.5",29,"6","GSM1072493","Long days LL_ rep 3"
"29.6",29,"10","GSM1072494","Long days LL_ rep 1"
"29.7",29,"10","GSM1072495","Long days LL_ rep 2"
"29.8",29,"10","GSM1072496","Long days LL_ rep 3"
"29.9",29,"14","GSM1072497","Long days LL_ rep 1"
"29.10",29,"14","GSM1072498","Long days LL_ rep 2"
"29.11",29,"14","GSM1072499","Long days LL_ rep 3"
"29.12",29,"18","GSM1072500","Long days LL_ rep 1"
"29.13",29,"18","GSM1072501","Long days LL_ rep 2"
"29.14",29,"18","GSM1072502","Long days LL_ rep 3"
"29.15",29,"22","GSM1072503","Long days LL_ rep 1"
"29.16",29,"22","GSM1072504","Long days LL_ rep 2"
"29.17",29,"22","GSM1072505","Long days LL_ rep 3"
"30",30,"0","GSM1219252","LD ZT0 at day 9, Whole leaf"
"30.1",30,"4","GSM1219253","LD ZT4 at day 9, Whole leaf"
"30.2",30,"8","GSM1219254","LD ZT8 at day 9, Whole leaf"
"30.3",30,"12","GSM1219255","LD ZT12 at day 9, Whole leaf"
"30.4",30,"16","GSM1219256","LD ZT16 at day 9, Whole leaf"
"30.5",30,"20","GSM1219257","LD ZT20 at day 9, Whole leaf"
"30.6",30,"24","GSM1219258","LD ZT0 at day 10, Whole leaf"
"30.7",30,"28","GSM1219259","LD ZT4 at day 10, Whole leaf"
"30.8",30,"32","GSM1219260","LD ZT8 at day 10, Whole leaf"
"30.9",30,"36","GSM1219261","LD ZT12 at day 10, Whole leaf"
"30.10",30,"40","GSM1219262","LD ZT16 at day 10, Whole leaf"
"30.11",30,"44","GSM1219263","LD ZT20 at day 10, Whole leaf"
"31",31,"0","GSM1219264","LD ZT0 at day 9, Mesophyll"
"31.1",31,"4","GSM1219265","LD ZT4 at day 9, Mesophyll"
"31.2",31,"8","GSM1219266","LD ZT8 at day 9, Mesophyll"
"31.3",31,"12","GSM1219267","LD ZT12 at day 9, Mesophyll"
"31.4",31,"16","GSM1219268","LD ZT16 at day 9, Mesophyll"
"31.5",31,"20","GSM1219269","LD ZT20 at day 9, Mesophyll"
"31.6",31,"24","GSM1219270","LD ZT0 at day 10, Mesophyll"
"31.7",31,"28","GSM1219271","LD ZT4 at day 10, Mesophyll"
"31.8",31,"32","GSM1219272","LD ZT8 at day 10, Mesophyll"
