"AGI","condition","tier","method","n_gears","min_padj","median_padj","n_strict","n_suggestive","neglog10_median"
"AT1G01060","12L12D","ROBUST","COSINOR",12,0.00483034725755694,0.139719356322176,3,3,0.854743423795705
"AT1G01060","12L12D","ROBUST","JTK",12,0.000264775733525734,0.00418798360797266,12,12,2.37799502684538
"AT1G01060","12L12D","ROBUST","RAIN",12,6.27896976617105e-06,0.00289018226263716,12,12,2.53907476860621
"AT1G22770","12L12D","ROBUST","COSINOR",5,0.00295438184311237,0.0875985996807381,2,3,1.0575028362496
"AT1G22770","12L12D","ROBUST","JTK",5,0.000644540644540644,0.00584688652396986,5,5,2.23307533484271
"AT1G22770","12L12D","ROBUST","RAIN",5,2.47657710431444e-06,0.00407004523966858,5,5,2.39040076344573
"AT2G25930","12L12D","ROBUST","COSINOR",5,0.000151250062897563,0.149387647602475,2,2,0.825685311488942
"AT2G25930","12L12D","ROBUST","JTK",5,2.58262099239954e-05,0.00584688652396986,5,5,2.23307533484271
"AT2G25930","12L12D","ROBUST","RAIN",5,2.47657710431444e-06,0.00314178930781434,5,5,2.50282294263203
"AT2G40080","12L12D","ROBUST","COSINOR",9,0.0154174263546378,0.297795542689366,3,3,0.526081806919301
"AT2G40080","12L12D","ROBUST","JTK",9,0.000178027421211645,0.00584688652396986,9,9,2.23307533484271
"AT2G40080","12L12D","ROBUST","RAIN",9,7.42493011659899e-06,0.0023877598739389,9,9,2.62200935035124
"AT2G46790","12L12D","NOT_OSCILLATOR","COSINOR",0,NA,NA,0,0,NA
"AT2G46790","12L12D","NOT_OSCILLATOR","JTK",0,NA,NA,0,0,NA
"AT2G46790","12L12D","NOT_OSCILLATOR","RAIN",0,NA,NA,0,0,NA
"AT2G46830","12L12D","ROBUST","COSINOR",12,0.00849286540465633,0.110614389141336,3,6,0.956188374674999
"AT2G46830","12L12D","ROBUST","JTK",12,3.12149270482604e-05,0.00221672328443161,12,12,2.65428851687421
"AT2G46830","12L12D","ROBUST","RAIN",12,9.36808825073016e-06,0.00110050189838633,12,12,2.9584092039439
"AT3G09600","12L12D","ROBUST","COSINOR",12,2.13547004759032e-05,0.114392707443976,3,4,0.94160166101319
"AT3G09600","12L12D","ROBUST","JTK",12,8.79329004329004e-06,0.000644540644540644,12,12,3.19074969096666
"AT3G09600","12L12D","ROBUST","RAIN",12,2.47657710431444e-06,0.00413056574796927,12,12,2.38399046059686
"AT3G46640","12L12D","ROBUST","COSINOR",7,0.00849286540465633,0.0892140072636911,3,4,1.04956695280165
"AT3G46640","12L12D","ROBUST","JTK",7,9.80539522206189e-05,0.0108196548821549,6,7,1.9657865918326
"AT3G46640","12L12D","ROBUST","RAIN",7,0.00016232164079644,0.000659426257154603,7,7,3.18083376403193
"AT3G54500","12L12D","ROBUST","COSINOR",6,0.00356829597577299,0.0728133245200479,3,3,1.13778913942292
"AT3G54500","12L12D","ROBUST","JTK",6,0.000421829328079328,0.00442009379509379,6,6,2.3545685147551
"AT3G54500","12L12D","ROBUST","RAIN",6,4.0613661463786e-06,0.000795241178866192,6,6,3.0995011395623
"AT5G02810","12L12D","ROBUST","COSINOR",8,0.00020881829199488,0.0985808369088481,2,4,1.00620749919254
"AT5G02810","12L12D","ROBUST","JTK",8,3.19163860830528e-05,0.00833327070306238,8,8,2.07918451005762
"AT5G02810","12L12D","ROBUST","RAIN",8,1.76320138703745e-05,0.00137981872855966,8,8,2.86017796458227
"AT5G24470","12L12D","NOT_OSCILLATOR","COSINOR",0,NA,NA,0,0,NA
"AT5G24470","12L12D","NOT_OSCILLATOR","JTK",0,NA,NA,0,0,NA
"AT5G24470","12L12D","NOT_OSCILLATOR","RAIN",0,NA,NA,0,0,NA
"AT5G61380","12L12D","CANDIDATE","COSINOR",12,0.00849286540465633,0.284639413426137,3,4,0.545704964236451
"AT5G61380","12L12D","CANDIDATE","JTK",12,0.000644540644540644,0.0185020396059884,9,12,1.73278039371586
"AT5G61380","12L12D","CANDIDATE","RAIN",12,0.000366347920641446,0.0012286138993676,11,12,2.91058457579449
"AT5G64170","12L12D","NOT_OSCILLATOR","COSINOR",0,NA,NA,0,0,NA
"AT5G64170","12L12D","NOT_OSCILLATOR","JTK",0,NA,NA,0,0,NA
"AT5G64170","12L12D","NOT_OSCILLATOR","RAIN",0,NA,NA,0,0,NA
