"AGI","condition","tier","COSINOR","JTK","RAIN"
"AT1G01060","12L12D","ROBUST",0.139719356322176,0.00418798360797266,0.00289018226263716
"AT1G22770","12L12D","ROBUST",0.0875985996807381,0.00584688652396986,0.00407004523966858
"AT2G25930","12L12D","ROBUST",0.149387647602475,0.00584688652396986,0.00314178930781434
"AT2G40080","12L12D","ROBUST",0.297795542689366,0.00584688652396986,0.0023877598739389
"AT2G46790","12L12D","NOT_OSCILLATOR",NA,NA,NA
"AT2G46830","12L12D","ROBUST",0.110614389141336,0.00221672328443161,0.00110050189838633
"AT3G09600","12L12D","ROBUST",0.114392707443976,0.000644540644540644,0.00413056574796927
"AT3G46640","12L12D","ROBUST",0.0892140072636911,0.0108196548821549,0.000659426257154603
"AT3G54500","12L12D","ROBUST",0.0728133245200479,0.00442009379509379,0.000795241178866192
"AT5G02810","12L12D","ROBUST",0.0985808369088481,0.00833327070306238,0.00137981872855966
"AT5G24470","12L12D","NOT_OSCILLATOR",NA,NA,NA
"AT5G61380","12L12D","CANDIDATE",0.284639413426137,0.0185020396059884,0.0012286138993676
"AT5G64170","12L12D","NOT_OSCILLATOR",NA,NA,NA
"AT1G01060","12L12D_LL","ROBUST",0.139719356322176,0.00418798360797266,0.00289018226263716
"AT1G22770","12L12D_LL","ROBUST",0.0875985996807381,0.00584688652396986,0.00407004523966858
"AT2G25930","12L12D_LL","ROBUST",0.149387647602475,0.00584688652396986,0.00314178930781434
"AT2G40080","12L12D_LL","ROBUST",0.297795542689366,0.00584688652396986,0.0023877598739389
"AT2G46790","12L12D_LL","NOT_OSCILLATOR",NA,NA,NA
"AT2G46830","12L12D_LL","ROBUST",0.110614389141336,0.00221672328443161,0.00110050189838633
"AT3G09600","12L12D_LL","ROBUST",0.114392707443976,0.000644540644540644,0.00413056574796927
"AT3G46640","12L12D_LL","ROBUST",0.0892140072636911,0.0108196548821549,0.000659426257154603
"AT3G54500","12L12D_LL","ROBUST",0.0728133245200479,0.00442009379509379,0.000795241178866192
"AT5G02810","12L12D_LL","ROBUST",0.0985808369088481,0.00833327070306238,0.00137981872855966
"AT5G24470","12L12D_LL","NOT_OSCILLATOR",NA,NA,NA
"AT5G61380","12L12D_LL","CANDIDATE",0.284639413426137,0.0185020396059884,0.0012286138993676
"AT5G64170","12L12D_LL","NOT_OSCILLATOR",NA,NA,NA
"AT1G01060","16L8D","ROBUST",0.139719356322176,0.00418798360797266,0.00289018226263716
"AT1G22770","16L8D","ROBUST",0.0875985996807381,0.00584688652396986,0.00407004523966858
"AT2G25930","16L8D","ROBUST",0.149387647602475,0.00584688652396986,0.00314178930781434
"AT2G40080","16L8D","ROBUST",0.297795542689366,0.00584688652396986,0.0023877598739389
"AT2G46790","16L8D","NOT_OSCILLATOR",NA,NA,NA
"AT2G46830","16L8D","ROBUST",0.110614389141336,0.00221672328443161,0.00110050189838633
"AT3G09600","16L8D","ROBUST",0.114392707443976,0.000644540644540644,0.00413056574796927
"AT3G46640","16L8D","ROBUST",0.0892140072636911,0.0108196548821549,0.000659426257154603
"AT3G54500","16L8D","ROBUST",0.0728133245200479,0.00442009379509379,0.000795241178866192
"AT5G02810","16L8D","ROBUST",0.0985808369088481,0.00833327070306238,0.00137981872855966
"AT5G24470","16L8D","NOT_OSCILLATOR",NA,NA,NA
"AT5G61380","16L8D","CANDIDATE",0.284639413426137,0.0185020396059884,0.0012286138993676
"AT5G64170","16L8D","NOT_OSCILLATOR",NA,NA,NA
"AT1G01060","8L16D","ROBUST",0.139719356322176,0.00418798360797266,0.00289018226263716
"AT1G22770","8L16D","ROBUST",0.0875985996807381,0.00584688652396986,0.00407004523966858
"AT2G25930","8L16D","ROBUST",0.149387647602475,0.00584688652396986,0.00314178930781434
"AT2G40080","8L16D","ROBUST",0.297795542689366,0.00584688652396986,0.0023877598739389
"AT2G46790","8L16D","NOT_OSCILLATOR",NA,NA,NA
"AT2G46830","8L16D","ROBUST",0.110614389141336,0.00221672328443161,0.00110050189838633
"AT3G09600","8L16D","ROBUST",0.114392707443976,0.000644540644540644,0.00413056574796927
"AT3G46640","8L16D","ROBUST",0.0892140072636911,0.0108196548821549,0.000659426257154603
"AT3G54500","8L16D","ROBUST",0.0728133245200479,0.00442009379509379,0.000795241178866192
"AT5G02810","8L16D","ROBUST",0.0985808369088481,0.00833327070306238,0.00137981872855966
"AT5G24470","8L16D","NOT_OSCILLATOR",NA,NA,NA
"AT5G61380","8L16D","CANDIDATE",0.284639413426137,0.0185020396059884,0.0012286138993676
"AT5G64170","8L16D","NOT_OSCILLATOR",NA,NA,NA
