"AGI","status"
"AT1G02420","robust"
"AT1G05750","robust"
"AT1G08610","robust"
"AT1G09680","robust"
"AT1G18900","robust"
"AT1G19720","robust"
"AT1G20300","robust"
"AT1G31920","robust"
"AT1G62350","robust"
"AT1G64580","robust"
"AT1G71210","robust"
"AT1G74750","robust"
"AT1G77405","robust"
"AT1G79080","robust"
"AT2G17670","robust"
"AT2G18520","robust"
"AT2G21090","robust"
"AT2G28050","robust"
"AT2G36240","robust"
"AT3G02490","robust"
"AT3G05340","robust"
"AT3G09040","robust"
"AT3G13770","robust"
"AT3G14580","robust"
"AT3G16010","robust"
"AT3G21470","robust"
"AT3G22670","robust"
"AT3G57430","robust"
"AT4G14820","robust"
"AT4G16390","robust"
"AT4G18520","robust"
"AT4G18840","robust"
"AT4G20740","robust"
"AT4G36680","robust"
"AT4G38150","robust"
"AT5G02860","robust"
"AT5G03560","robust"
"AT5G13770","robust"
"AT5G14080","robust"
"AT5G16420","robust"
"AT5G39980","robust"
"AT5G50280","robust"
"AT5G57250","robust"
"AT5G61370","robust"
"AT1G13410","candidate"
"AT1G25360","candidate"
"AT1G26900","candidate"
"AT1G60770","candidate"
"AT1G74850","candidate"
"AT1G80550","candidate"
"AT2G15820","candidate"
"AT2G16650","candidate"
"AT2G31400","candidate"
"AT2G36730","candidate"
"AT2G41080","candidate"
"AT2G44880","candidate"
"AT3G03580","candidate"
"AT3G04760","candidate"
"AT3G23330","candidate"
"AT3G49240","candidate"
"AT3G59040","candidate"
"AT3G61360","candidate"
"AT4G14170","candidate"
"AT4G31850","candidate"
"AT4G33170","candidate"
"AT5G09450","candidate"
"AT5G10690","candidate"
"AT5G19020","candidate"
"AT5G42450","candidate"
"AT5G60960","candidate"
"AT5G65560","candidate"
