"AGI","status"
"AT1G01970","robust"
"AT1G15510","robust"
"AT1G31920","robust"
"AT2G18940","robust"
"AT3G18970","robust"
"AT5G02860","robust"
"AT5G04810","robust"
"AT5G13770","robust"
"AT5G48730","robust"
"AT1G80270","candidate"
"AT2G29760","candidate"
"AT3G18110","candidate"
"AT3G53700","candidate"
"AT3G57430","candidate"
"AT4G16390","candidate"
"AT4G18520","candidate"
"AT4G35130","candidate"
"AT5G01110","candidate"
"AT5G39980","candidate"
"AT5G42310","candidate"
"AT5G46580","candidate"
"AT5G61370","candidate"
