"condition","AGI","gears_required","n_eligible_gears_tested","n_gears_supported_strict","n_gears_supported_sugg","n_gears_supported_strict_phase4h","n_gears_rain_strict","n_gears_jtk_strict","n_gears_cos_strict","n_gears_rain_sugg","n_gears_jtk_sugg","n_gears_cos_sugg","phase_est","phase_ref_strict","consensus_rhythmic","consensus_rhythmic_phase","consensus_candidate"
"12L12D","AT1G01060",2,2,2,2,2,2,2,1,2,2,1,0.991924683946083,0.991924683946083,TRUE,TRUE,TRUE
"12L12D","AT1G02420",2,2,2,2,2,2,1,1,2,2,1,21.3743924828022,21.3743924828022,TRUE,TRUE,TRUE
"12L12D","AT1G05750",2,2,2,2,0,2,2,1,2,2,1,14.8994668610313,14.8994668610313,TRUE,FALSE,TRUE
"12L12D","AT1G08610",2,2,2,2,0,2,2,1,2,2,1,2.48553893716277,2.48553893716277,TRUE,FALSE,TRUE
"12L12D","AT1G09680",2,2,2,2,2,2,2,1,2,2,1,16.0313016662927,16.0313016662927,TRUE,TRUE,TRUE
"12L12D","AT1G18900",2,2,2,2,2,2,2,1,2,2,1,1.10349650244283,1.10349650244283,TRUE,TRUE,TRUE
"12L12D","AT1G19720",2,2,2,2,2,2,2,1,2,2,1,2.0668063940206,2.0668063940206,TRUE,TRUE,TRUE
"12L12D","AT1G20300",2,2,2,2,0,2,2,1,2,2,1,23.4642746252676,23.4642746252676,TRUE,FALSE,TRUE
"12L12D","AT1G22770",2,2,2,2,2,2,2,1,2,2,1,8.15267144400576,8.15267144400576,TRUE,TRUE,TRUE
"12L12D","AT1G31920",2,2,2,2,2,2,2,1,2,2,1,2.73859814093737,2.73859814093737,TRUE,TRUE,TRUE
"12L12D","AT1G62350",2,2,2,2,0,2,2,1,2,2,1,2.86096439993298,2.86096439993298,TRUE,FALSE,TRUE
"12L12D","AT1G64580",2,2,2,2,2,2,2,1,2,2,1,9.65623930564793,9.65623930564793,TRUE,TRUE,TRUE
"12L12D","AT1G71210",2,2,2,2,2,2,2,1,2,2,1,0.575107561604704,0.575107561604704,TRUE,TRUE,TRUE
"12L12D","AT1G74750",2,2,2,2,2,2,2,1,2,2,1,0.46792721488889,0.46792721488889,TRUE,TRUE,TRUE
"12L12D","AT1G77405",2,2,2,2,2,2,2,0,2,2,0,15,15,TRUE,TRUE,TRUE
"12L12D","AT1G79080",2,2,2,2,0,2,2,1,2,2,1,4.16869400238974,4.16869400238974,TRUE,FALSE,TRUE
"12L12D","AT2G17670",2,2,2,2,0,2,2,1,2,2,1,3.17458375958388,3.17458375958388,TRUE,FALSE,TRUE
"12L12D","AT2G18520",2,2,2,2,0,2,2,1,2,2,1,2.93062036175472,2.93062036175472,TRUE,FALSE,TRUE
"12L12D","AT2G21090",2,2,2,2,0,2,2,1,2,2,1,3.39608555133462,3.39608555133462,TRUE,FALSE,TRUE
"12L12D","AT2G25930",2,2,2,2,2,2,2,1,2,2,1,15.9609295495268,15.9609295495268,TRUE,TRUE,TRUE
"12L12D","AT2G28050",2,2,2,2,0,2,2,1,2,2,1,0.911375885387843,0.911375885387843,TRUE,FALSE,TRUE
"12L12D","AT2G36240",2,2,2,2,2,2,2,1,2,2,1,11.5391214616346,11.5391214616346,TRUE,TRUE,TRUE
"12L12D","AT2G40080",2,2,2,2,2,2,2,1,2,2,1,12.4277845012289,12.4277845012289,TRUE,TRUE,TRUE
"12L12D","AT2G46830",2,2,2,2,2,2,2,1,2,2,1,0.871963869881219,0.871963869881219,TRUE,TRUE,TRUE
